sentence,ingredients
剩下的只有枸杞、白醋、芹菜梗、涼拌小黃瓜,"['枸杞', '白醋', '芹菜梗', '涼拌小黃瓜']"
今天晚餐我想用薑泥、枸杞、蠔油、豬里肌肉來做點東西,"['薑泥', '枸杞', '蠔油', '豬里肌肉']"
鹹蛋、白胡椒粉、順眼的盤子是我剩下的食材,"['鹹蛋', '白胡椒粉', '順眼的盤子']"
塩、高麗菜還能怎麼料理？,"['塩', '高麗菜']"
"只剩下奶油、西芹、牛肋條、空心菜, 有什麼建議？","['奶油', '西芹', '牛肋條', '空心菜']"
"我不想浪費清酒or米酒、洋蔥丁、乳玛琳、熟白芝麻, 能推薦一下嗎？","['清酒or米酒', '洋蔥丁', '乳玛琳', '熟白芝麻']"
洋蔥絲、洋蔥，切丁、去骨雞腿肉是我剩下的食材,"['洋蔥絲', '洋蔥，切丁', '去骨雞腿肉']"
幫我用白酒、薑、义大利面、焗烤起司絲出個菜單,"['白酒', '薑', '义大利面', '焗烤起司絲']"
今天晚餐我想用火腿片、水、麵線來做點東西,"['火腿片', '水', '麵線']"
幫我用辣椒末或紅甜椒丁、青蔥、切碎的韓式泡菜出個菜單,"['辣椒末或紅甜椒丁', '青蔥', '切碎的韓式泡菜']"
我冰箱裡還有鹹蛋、米粉、义大利面,"['鹹蛋', '米粉', '义大利面']"
今天晚餐我想用Prego白酱、蒜頭、月桂葉來做點東西,"['Prego白酱', '蒜頭', '月桂葉']"
我冰箱裡還有泡菜汁、香蕉、味霖,"['泡菜汁', '香蕉', '味霖']"
"我不想浪費小磨坊-勁辣十三香、溫水、洋蔥，切丁, 能推薦一下嗎？","['小磨坊-勁辣十三香', '溫水', '洋蔥，切丁']"
家裡冰箱剩下水煮蛋或溏心蛋、冰糖、火鍋牛肉片，該怎麼辦,"['水煮蛋或溏心蛋', '冰糖', '火鍋牛肉片']"
番茄糊、辣椒、月桂葉還能怎麼料理？,"['番茄糊', '辣椒', '月桂葉']"
能不能幫我看看花椒、薄鹽干貝醬油、胡椒粉、無鹽奶油能煮什麼？,"['花椒', '薄鹽干貝醬油', '胡椒粉', '無鹽奶油']"
剩下的只有白米、去骨無刺鱸魚片,"['白米', '去骨無刺鱸魚片']"
今天晚餐我想用火腿片、青蔥、香油來做點東西,"['火腿片', '青蔥', '香油']"
能不能幫我看看雞、玉米醬、溫水能煮什麼？,"['雞', '玉米醬', '溫水']"
"我不想浪費薄鹽干貝醬油、火腿片, 能推薦一下嗎？","['薄鹽干貝醬油', '火腿片']"
能不能幫我看看香菜、希臘式無糖優格能煮什麼？,"['香菜', '希臘式無糖優格']"
幫我用番茄、义大利面出個菜單,"['番茄', '义大利面']"
"我不想浪費焗烤起司絲、順眼的盤子、白芝麻、玉米粒, 能推薦一下嗎？","['焗烤起司絲', '順眼的盤子', '白芝麻', '玉米粒']"
今天晚餐我想用白醋、韓國魚板片來做點東西,"['白醋', '韓國魚板片']"
辣椒、Prego白酱是我剩下的食材,"['辣椒', 'Prego白酱']"
切碎的韓式泡菜、米粉、巧克力醬是我剩下的食材,"['切碎的韓式泡菜', '米粉', '巧克力醬']"
我冰箱裡還有牛肋條、米粉,"['牛肋條', '米粉']"
我冰箱裡還有大蒜、焗烤起司絲,"['大蒜', '焗烤起司絲']"
今天晚餐我想用義大利香料、昆布、塩、薑來做點東西,"['義大利香料', '昆布', '塩', '薑']"
能不能幫我看看日本香菇精、蒜能煮什麼？,"['日本香菇精', '蒜']"
我冰箱裡還有蔥結、韓國辣椒粉,"['蔥結', '韓國辣椒粉']"
"我不想浪費蛋豆腐、白玉馬鈴薯、去骨雞腿排, 能推薦一下嗎？","['蛋豆腐', '白玉馬鈴薯', '去骨雞腿排']"
能不能幫我看看義大利香料、馬鈴薯、可微波的碗、白米能煮什麼？,"['義大利香料', '馬鈴薯', '可微波的碗', '白米']"
仿土雞腿、鬆餅粉、油還能怎麼料理？,"['仿土雞腿', '鬆餅粉', '油']"
"我不想浪費洋蔥，切丁、蛋、薑片、蘑菇, 能推薦一下嗎？","['洋蔥，切丁', '蛋', '薑片', '蘑菇']"
幫我用韓國高湯用魚乾、切碎的韓式泡菜、鹹蛋出個菜單,"['韓國高湯用魚乾', '切碎的韓式泡菜', '鹹蛋']"
幫我用水、豬絞肉、切碎的韓式泡菜、鹽巴出個菜單,"['水', '豬絞肉', '切碎的韓式泡菜', '鹽巴']"
剩下的只有蔥花、白米,"['蔥花', '白米']"
能不能幫我看看去骨無刺鱸魚片、蔥、義大利香料能煮什麼？,"['去骨無刺鱸魚片', '蔥', '義大利香料']"
幫我用糖、糖.水、紹興酒、麵線出個菜單,"['糖', '糖.水', '紹興酒', '麵線']"
家裡冰箱剩下醬油、红萝卜，該怎麼辦,"['醬油', '红萝卜']"
大蒜、鸿喜菇、醬油.素蠔油、牛奶是我剩下的食材,"['大蒜', '鸿喜菇', '醬油.素蠔油', '牛奶']"
"我不想浪費薄鹽干貝醬油、青蔥、芹菜梗、切碎的韓式泡菜, 能推薦一下嗎？","['薄鹽干貝醬油', '青蔥', '芹菜梗', '切碎的韓式泡菜']"
"我不想浪費洋蔥丁、韓國辣椒醬, 能推薦一下嗎？","['洋蔥丁', '韓國辣椒醬']"
剩下的只有白飯、蠔油、辣椒末或紅甜椒丁,"['白飯', '蠔油', '辣椒末或紅甜椒丁']"
洋蔥、米酒是我剩下的食材,"['洋蔥', '米酒']"
"我不想浪費香菇、味霖、李錦記舊庄特級蠔油、鸿喜菇, 能推薦一下嗎？","['香菇', '味霖', '李錦記舊庄特級蠔油', '鸿喜菇']"
能不能幫我看看鮮奶、乾小干貝能煮什麼？,"['鮮奶', '乾小干貝']"
"我不想浪費紅蘿蔔末、洋蔥, 能推薦一下嗎？","['紅蘿蔔末', '洋蔥']"
白蘿蔔、可微波的碗、木耳還能怎麼料理？,"['白蘿蔔', '可微波的碗', '木耳']"
"我不想浪費紹興酒、高麗菜、空心菜、韓國魚板片, 能推薦一下嗎？","['紹興酒', '高麗菜', '空心菜', '韓國魚板片']"
今天晚餐我想用蒜头、焗烤起司絲來做點東西,"['蒜头', '焗烤起司絲']"
"只剩下白米、甜不辣、乾小干貝, 有什麼建議？","['白米', '甜不辣', '乾小干貝']"
高湯、乾香菇、無鹽奶油還能怎麼料理？,"['高湯', '乾香菇', '無鹽奶油']"
能不能幫我看看冷凍金針菇、耐熱保鮮膜能煮什麼？,"['冷凍金針菇', '耐熱保鮮膜']"
"我不想浪費韓國辣椒醬、茄子, 能推薦一下嗎？","['韓國辣椒醬', '茄子']"
家裡冰箱剩下薄鹽干貝醬油、鲜奶、茄子，該怎麼辦,"['薄鹽干貝醬油', '鲜奶', '茄子']"
剩下的只有胡椒粉、紅蘿蔔、香蕉、檸檬汁,"['胡椒粉', '紅蘿蔔', '香蕉', '檸檬汁']"
剩下的只有青蔥、白蘿蔔、洋蔥絲,"['青蔥', '白蘿蔔', '洋蔥絲']"
"我不想浪費蕃茄醬、鲜奶、冷凍金針菇、昆布, 能推薦一下嗎？","['蕃茄醬', '鲜奶', '冷凍金針菇', '昆布']"
幫我用空心菜、红萝卜出個菜單,"['空心菜', '红萝卜']"
能不能幫我看看鮮奶、韓國辣椒粉、麵粉、麻油能煮什麼？,"['鮮奶', '韓國辣椒粉', '麵粉', '麻油']"
紅蘿蔔末、八角、白飯是我剩下的食材,"['紅蘿蔔末', '八角', '白飯']"
剩下的只有白米、辣椒末或紅甜椒丁,"['白米', '辣椒末或紅甜椒丁']"
家裡冰箱剩下塩、油蔥酥、蘑菇、麵線，該怎麼辦,"['塩', '油蔥酥', '蘑菇', '麵線']"
家裡冰箱剩下花生、韓國辣醬、冷凍金針菇，該怎麼辦,"['花生', '韓國辣醬', '冷凍金針菇']"
幫我用空心菜、帶肉牛筋、涼拌小黃瓜、薑出個菜單,"['空心菜', '帶肉牛筋', '涼拌小黃瓜', '薑']"
剩下的只有廚房紙巾、乾香菇,"['廚房紙巾', '乾香菇']"
能不能幫我看看芝麻油、乾香菇、巧克力醬、蒜頭能煮什麼？,"['芝麻油', '乾香菇', '巧克力醬', '蒜頭']"
家裡冰箱剩下蔥.薑.蒜末、去骨雞腿排、鮮奶，該怎麼辦,"['蔥.薑.蒜末', '去骨雞腿排', '鮮奶']"
"我不想浪費牛頭牌原味高湯-雞肉風味、乾小干貝、蔥、太白粉, 能推薦一下嗎？","['牛頭牌原味高湯-雞肉風味', '乾小干貝', '蔥', '太白粉']"
义大利面、白胡椒粉、韓國魚板片、泡菜汁還能怎麼料理？,"['义大利面', '白胡椒粉', '韓國魚板片', '泡菜汁']"
剩下的只有白蘿蔔、豬絞肉、韓國魚板片、米酒,"['白蘿蔔', '豬絞肉', '韓國魚板片', '米酒']"
我冰箱裡還有起司、八角,"['起司', '八角']"
我冰箱裡還有小磨坊-勁辣十三香、蘑菇,"['小磨坊-勁辣十三香', '蘑菇']"
红萝卜、乾香菇、高湯是我剩下的食材,"['红萝卜', '乾香菇', '高湯']"
幫我用木耳、洋蔥丁、甜不辣出個菜單,"['木耳', '洋蔥丁', '甜不辣']"
辣椒末或紅甜椒丁、蒜、香油還能怎麼料理？,"['辣椒末或紅甜椒丁', '蒜', '香油']"
家裡冰箱剩下紅蘿蔔、蛋豆腐、花生，該怎麼辦,"['紅蘿蔔', '蛋豆腐', '花生']"
白胡椒粉、豬肉片、檸檬汁還能怎麼料理？,"['白胡椒粉', '豬肉片', '檸檬汁']"
"只剩下火鍋牛肉片、白酒, 有什麼建議？","['火鍋牛肉片', '白酒']"
我冰箱裡還有义大利面、麻油、玉米粒、洋蔥,"['义大利面', '麻油', '玉米粒', '洋蔥']"
"只剩下涼拌小黃瓜、乾小干貝, 有什麼建議？","['涼拌小黃瓜', '乾小干貝']"
蒜末、味霖還能怎麼料理？,"['蒜末', '味霖']"
"我不想浪費洋蔥絲、蒜末、李錦記蠔油、蠔油, 能推薦一下嗎？","['洋蔥絲', '蒜末', '李錦記蠔油', '蠔油']"
剩下的只有薄鹽干貝醬油、鲜奶、枸杞、义大利面,"['薄鹽干貝醬油', '鲜奶', '枸杞', '义大利面']"
今天晚餐我想用鮮味炒手、茄子、韓國辣醬來做點東西,"['鮮味炒手', '茄子', '韓國辣醬']"
家裡冰箱剩下馬鈴薯、豬絞肉、牛奶、小磨坊-勁辣十三香，該怎麼辦,"['馬鈴薯', '豬絞肉', '牛奶', '小磨坊-勁辣十三香']"
剩下的只有李錦記蠔油、可微波的碗,"['李錦記蠔油', '可微波的碗']"
"只剩下醬油、蒜頭, 有什麼建議？","['醬油', '蒜頭']"
今天晚餐我想用米酒、砂糖、耐熱保鮮膜、帶肉牛筋來做點東西,"['米酒', '砂糖', '耐熱保鮮膜', '帶肉牛筋']"
剩下的只有鲜奶、鸿喜菇、米粉,"['鲜奶', '鸿喜菇', '米粉']"
今天晚餐我想用薑泥、泡菜汁、糖來做點東西,"['薑泥', '泡菜汁', '糖']"
華盛頓宇宙脆™蘋果、蛋是我剩下的食材,"['華盛頓宇宙脆™蘋果', '蛋']"
今天晚餐我想用红萝卜、希臘式無糖優格來做點東西,"['红萝卜', '希臘式無糖優格']"
涼拌小黃瓜、番茄、蛋豆腐、洋蔥還能怎麼料理？,"['涼拌小黃瓜', '番茄', '蛋豆腐', '洋蔥']"
"只剩下胡蘿蔔、黑胡椒粒、蝦米、仿土雞腿, 有什麼建議？","['胡蘿蔔', '黑胡椒粒', '蝦米', '仿土雞腿']"
家裡冰箱剩下月桂葉、黑胡椒粒、白蘿蔔、蛋，該怎麼辦,"['月桂葉', '黑胡椒粒', '白蘿蔔', '蛋']"
能不能幫我看看昆布柴魚高湯、麻油、蠔油能煮什麼？,"['昆布柴魚高湯', '麻油', '蠔油']"
今天晚餐我想用番茄醬、蝦米、砂糖、廚房紙巾來做點東西,"['番茄醬', '蝦米', '砂糖', '廚房紙巾']"
剩下的只有仿土雞腿、北海道白酱奶油玉米块、泡菜汁,"['仿土雞腿', '北海道白酱奶油玉米块', '泡菜汁']"
"只剩下蒜頭、青江菜、蝦米、香蕉, 有什麼建議？","['蒜頭', '青江菜', '蝦米', '香蕉']"
"我不想浪費紅蘿蔔末、洋蔥、花椒、乾小干貝, 能推薦一下嗎？","['紅蘿蔔末', '洋蔥', '花椒', '乾小干貝']"
"只剩下牛頭牌原味高湯-雞肉風味、米粉、韓國辣椒醬、麵線, 有什麼建議？","['牛頭牌原味高湯-雞肉風味', '米粉', '韓國辣椒醬', '麵線']"
能不能幫我看看白蘿蔔、薄鹽干貝醬油、五花肉能煮什麼？,"['白蘿蔔', '薄鹽干貝醬油', '五花肉']"
幫我用蜂蜜、太白粉、奶油、白酒出個菜單,"['蜂蜜', '太白粉', '奶油', '白酒']"
"我不想浪費牛肋條、水煮蛋或溏心蛋、洋蔥, 能推薦一下嗎？","['牛肋條', '水煮蛋或溏心蛋', '洋蔥']"
"只剩下廚房紙巾、木耳、蒜头, 有什麼建議？","['廚房紙巾', '木耳', '蒜头']"
家裡冰箱剩下花生、芝麻油，該怎麼辦,"['花生', '芝麻油']"
今天晚餐我想用紅蘿蔔末、起士、糖來做點東西,"['紅蘿蔔末', '起士', '糖']"
幫我用豬里肌肉、红萝卜、空心菜、白玉馬鈴薯出個菜單,"['豬里肌肉', '红萝卜', '空心菜', '白玉馬鈴薯']"
能不能幫我看看洋蔥，切丁、蒜末、紅蘿蔔、蒜頭切末能煮什麼？,"['洋蔥，切丁', '蒜末', '紅蘿蔔', '蒜頭切末']"
家裡冰箱剩下芹菜梗、五花肉，該怎麼辦,"['芹菜梗', '五花肉']"
剩下的只有蒜頭、辣椒、薄鹽干貝醬油、高湯,"['蒜頭', '辣椒', '薄鹽干貝醬油', '高湯']"
五花肉、豬絞肉是我剩下的食材,"['五花肉', '豬絞肉']"
家裡冰箱剩下木耳、白玉馬鈴薯、帶肉牛筋、紹興酒，該怎麼辦,"['木耳', '白玉馬鈴薯', '帶肉牛筋', '紹興酒']"
家裡冰箱剩下薄鹽干貝醬油、蘑菇，該怎麼辦,"['薄鹽干貝醬油', '蘑菇']"
"只剩下油蔥酥、蒜、黑胡椒粒、麻油, 有什麼建議？","['油蔥酥', '蒜', '黑胡椒粒', '麻油']"
"我不想浪費蔥.薑.蒜末、白胡椒, 能推薦一下嗎？","['蔥.薑.蒜末', '白胡椒']"
我冰箱裡還有白飯、冷凍金針菇、紅蘿蔔、辣椒末或紅甜椒丁,"['白飯', '冷凍金針菇', '紅蘿蔔', '辣椒末或紅甜椒丁']"
"我不想浪費洋蔥丁、耐熱保鮮膜、皮蛋, 能推薦一下嗎？","['洋蔥丁', '耐熱保鮮膜', '皮蛋']"
帶肉牛筋、老薑片、芥末籽醬、皮蛋是我剩下的食材,"['帶肉牛筋', '老薑片', '芥末籽醬', '皮蛋']"
能不能幫我看看大白菜、芹菜梗、白胡椒粉、鹽能煮什麼？,"['大白菜', '芹菜梗', '白胡椒粉', '鹽']"
小磨坊-勁辣十三香、白玉馬鈴薯還能怎麼料理？,"['小磨坊-勁辣十三香', '白玉馬鈴薯']"
"我不想浪費米粉、甜不辣、無鹽奶油, 能推薦一下嗎？","['米粉', '甜不辣', '無鹽奶油']"
剩下的只有蛋豆腐、糖.水、水、砂糖,"['蛋豆腐', '糖.水', '水', '砂糖']"
剩下的只有蒜頭、豬肉片、辣椒、麵線,"['蒜頭', '豬肉片', '辣椒', '麵線']"
今天晚餐我想用巧克力醬、辣椒、韓國辣椒醬來做點東西,"['巧克力醬', '辣椒', '韓國辣椒醬']"
今天晚餐我想用蒜、太白粉、昆布柴魚高湯、麻油來做點東西,"['蒜', '太白粉', '昆布柴魚高湯', '麻油']"
蠔油、地瓜是我剩下的食材,"['蠔油', '地瓜']"
今天晚餐我想用韓國辣椒粉、Prego白酱來做點東西,"['韓國辣椒粉', 'Prego白酱']"
今天晚餐我想用紅蘿蔔、昆布、胡蘿蔔、焗烤起司絲來做點東西,"['紅蘿蔔', '昆布', '胡蘿蔔', '焗烤起司絲']"
"我不想浪費小黃瓜、太白粉、玉米醬, 能推薦一下嗎？","['小黃瓜', '太白粉', '玉米醬']"
能不能幫我看看洋蔥，切丁、冷凍金針菇、乾小干貝、培根能煮什麼？,"['洋蔥，切丁', '冷凍金針菇', '乾小干貝', '培根']"
月桂葉、起司、花生、蔥還能怎麼料理？,"['月桂葉', '起司', '花生', '蔥']"
"只剩下青蔥、洋蔥，切丁, 有什麼建議？","['青蔥', '洋蔥，切丁']"
我冰箱裡還有蛋豆腐、油豆腐,"['蛋豆腐', '油豆腐']"
家裡冰箱剩下番茄糊、甜不辣，該怎麼辦,"['番茄糊', '甜不辣']"
焗烤起司絲、牛奶是我剩下的食材,"['焗烤起司絲', '牛奶']"
"只剩下蔥結、蛋豆腐、麵線, 有什麼建議？","['蔥結', '蛋豆腐', '麵線']"
家裡冰箱剩下白飯、西芹、牛肋條，該怎麼辦,"['白飯', '西芹', '牛肋條']"
青江菜、切碎的韓式泡菜、紅蘿蔔末、月桂葉還能怎麼料理？,"['青江菜', '切碎的韓式泡菜', '紅蘿蔔末', '月桂葉']"
"我不想浪費麵線、薑泥, 能推薦一下嗎？","['麵線', '薑泥']"
"我不想浪費青蔥、鹽、薄鹽干貝醬油、洋蔥，切丁, 能推薦一下嗎？","['青蔥', '鹽', '薄鹽干貝醬油', '洋蔥，切丁']"
我冰箱裡還有高麗菜、清酒or米酒、五花肉、糖.水,"['高麗菜', '清酒or米酒', '五花肉', '糖.水']"
我冰箱裡還有雞蛋、皮蛋、蜂蜜,"['雞蛋', '皮蛋', '蜂蜜']"
家裡冰箱剩下日本香菇精、白胡椒，該怎麼辦,"['日本香菇精', '白胡椒']"
幫我用蛋豆腐、馬鈴薯、白胡椒、牛頭牌原味高湯-雞肉風味出個菜單,"['蛋豆腐', '馬鈴薯', '白胡椒', '牛頭牌原味高湯-雞肉風味']"
冷凍金針菇、麵粉、茄子還能怎麼料理？,"['冷凍金針菇', '麵粉', '茄子']"
幫我用甜不辣、老薑片出個菜單,"['甜不辣', '老薑片']"
"我不想浪費去骨雞腿肉、熟白芝麻, 能推薦一下嗎？","['去骨雞腿肉', '熟白芝麻']"
木耳、蛋還能怎麼料理？,"['木耳', '蛋']"
"我不想浪費蠔油、起司、韓國高湯用魚乾、小黃瓜, 能推薦一下嗎？","['蠔油', '起司', '韓國高湯用魚乾', '小黃瓜']"
"只剩下水煮蛋或溏心蛋、蔥花, 有什麼建議？","['水煮蛋或溏心蛋', '蔥花']"
我冰箱裡還有大蒜、日本香菇精、清酒or米酒、油,"['大蒜', '日本香菇精', '清酒or米酒', '油']"
家裡冰箱剩下青江菜、蛋豆腐、地瓜，該怎麼辦,"['青江菜', '蛋豆腐', '地瓜']"
鮮奶、月桂葉、可微波的碗、薑泥是我剩下的食材,"['鮮奶', '月桂葉', '可微波的碗', '薑泥']"
我冰箱裡還有白蘿蔔、香油、红萝卜,"['白蘿蔔', '香油', '红萝卜']"
家裡冰箱剩下乾香菇、洋蔥，切丁、薑、白酒，該怎麼辦,"['乾香菇', '洋蔥，切丁', '薑', '白酒']"
家裡冰箱剩下冰糖、糖，該怎麼辦,"['冰糖', '糖']"
剩下的只有茄子、五花肉,"['茄子', '五花肉']"
辣椒末或紅甜椒丁、青蔥還能怎麼料理？,"['辣椒末或紅甜椒丁', '青蔥']"
今天晚餐我想用冷凍金針菇、檸檬汁來做點東西,"['冷凍金針菇', '檸檬汁']"
去骨雞腿肉、醬油.素蠔油是我剩下的食材,"['去骨雞腿肉', '醬油.素蠔油']"
家裡冰箱剩下青蔥、地瓜、白米、芥末籽醬，該怎麼辦,"['青蔥', '地瓜', '白米', '芥末籽醬']"
幫我用白酒、薑、胡蘿蔔出個菜單,"['白酒', '薑', '胡蘿蔔']"
能不能幫我看看义大利面、乾小干貝能煮什麼？,"['义大利面', '乾小干貝']"
白酒、雞蛋還能怎麼料理？,"['白酒', '雞蛋']"
我冰箱裡還有水、蠔油、白胡椒粉,"['水', '蠔油', '白胡椒粉']"
"只剩下蒜頭切末、香蕉、培根、油豆腐, 有什麼建議？","['蒜頭切末', '香蕉', '培根', '油豆腐']"
我冰箱裡還有皮蛋、芹菜梗、芥末籽醬、白醋,"['皮蛋', '芹菜梗', '芥末籽醬', '白醋']"
能不能幫我看看薑片、蜂蜜、义大利面、薑能煮什麼？,"['薑片', '蜂蜜', '义大利面', '薑']"
今天晚餐我想用白米、乾小干貝、義大利香料來做點東西,"['白米', '乾小干貝', '義大利香料']"
今天晚餐我想用廚房紙巾、玉米粒、焗烤起司絲、薑來做點東西,"['廚房紙巾', '玉米粒', '焗烤起司絲', '薑']"
"只剩下蛋、辣椒切末, 有什麼建議？","['蛋', '辣椒切末']"
我冰箱裡還有糖、白醋、涼拌小黃瓜、佛蒙特咖哩塊,"['糖', '白醋', '涼拌小黃瓜', '佛蒙特咖哩塊']"
我冰箱裡還有茄子、番茄醬、薑泥,"['茄子', '番茄醬', '薑泥']"
家裡冰箱剩下油蔥酥、去骨雞腿肉、去骨雞腿排，該怎麼辦,"['油蔥酥', '去骨雞腿肉', '去骨雞腿排']"
我冰箱裡還有油、油豆腐,"['油', '油豆腐']"
今天晚餐我想用蜂蜜、韓國辣椒粉、白玉馬鈴薯、鸿喜菇來做點東西,"['蜂蜜', '韓國辣椒粉', '白玉馬鈴薯', '鸿喜菇']"
"只剩下牛奶、李錦記舊庄特級蠔油、蜂蜜、帶肉牛筋, 有什麼建議？","['牛奶', '李錦記舊庄特級蠔油', '蜂蜜', '帶肉牛筋']"
能不能幫我看看雞粉、麵粉、小磨坊-勁辣十三香能煮什麼？,"['雞粉', '麵粉', '小磨坊-勁辣十三香']"
家裡冰箱剩下木耳、廚房紙巾、花椒，該怎麼辦,"['木耳', '廚房紙巾', '花椒']"
家裡冰箱剩下蕃茄醬、薄鹽干貝醬油、青江菜，該怎麼辦,"['蕃茄醬', '薄鹽干貝醬油', '青江菜']"
"只剩下洋蔥丁、黑胡椒粒、鮮味炒手, 有什麼建議？","['洋蔥丁', '黑胡椒粒', '鮮味炒手']"
我冰箱裡還有檸檬汁、甜不辣、蝦米,"['檸檬汁', '甜不辣', '蝦米']"
剩下的只有砂糖、鹽、白蘿蔔,"['砂糖', '鹽', '白蘿蔔']"
能不能幫我看看鮮味炒手、麵線、水、冷凍金針菇能煮什麼？,"['鮮味炒手', '麵線', '水', '冷凍金針菇']"
幫我用小黃瓜、乳玛琳、海苔絲、胡椒粉出個菜單,"['小黃瓜', '乳玛琳', '海苔絲', '胡椒粉']"
"只剩下紅蘿蔔、义大利面, 有什麼建議？","['紅蘿蔔', '义大利面']"
洋蔥、蕃茄醬、香油是我剩下的食材,"['洋蔥', '蕃茄醬', '香油']"
剩下的只有白米、白玉馬鈴薯、涼拌小黃瓜,"['白米', '白玉馬鈴薯', '涼拌小黃瓜']"
蛋豆腐、巧克力醬、油蔥酥還能怎麼料理？,"['蛋豆腐', '巧克力醬', '油蔥酥']"
今天晚餐我想用豬絞肉、牛頭牌原味高湯-雞肉風味來做點東西,"['豬絞肉', '牛頭牌原味高湯-雞肉風味']"
熟白芝麻、皮蛋還能怎麼料理？,"['熟白芝麻', '皮蛋']"
能不能幫我看看起士、乳玛琳、麵線、绞肉能煮什麼？,"['起士', '乳玛琳', '麵線', '绞肉']"
幫我用溫水、玉米粒、地瓜出個菜單,"['溫水', '玉米粒', '地瓜']"
剩下的只有水、薑、蛋豆腐、高湯,"['水', '薑', '蛋豆腐', '高湯']"
今天晚餐我想用绞肉、香油、白芝麻來做點東西,"['绞肉', '香油', '白芝麻']"
"只剩下蔥結、辣椒切末、白胡椒、味霖, 有什麼建議？","['蔥結', '辣椒切末', '白胡椒', '味霖']"
白米、红萝卜是我剩下的食材,"['白米', '红萝卜']"
肉末、蘑菇、紅蘿蔔末還能怎麼料理？,"['肉末', '蘑菇', '紅蘿蔔末']"
"我不想浪費小黃瓜、紹興酒、番茄, 能推薦一下嗎？","['小黃瓜', '紹興酒', '番茄']"
幫我用李錦記蠔油、日本香菇精出個菜單,"['李錦記蠔油', '日本香菇精']"
我冰箱裡還有皮蛋、乾小干貝,"['皮蛋', '乾小干貝']"
幫我用香菜、塩、米粉、冰糖出個菜單,"['香菜', '塩', '米粉', '冰糖']"
"只剩下切碎的韓式泡菜、洋蔥、高湯, 有什麼建議？","['切碎的韓式泡菜', '洋蔥', '高湯']"
家裡冰箱剩下八角、糖.水，該怎麼辦,"['八角', '糖.水']"
芝麻油、鸿喜菇、熟白芝麻是我剩下的食材,"['芝麻油', '鸿喜菇', '熟白芝麻']"
我冰箱裡還有洋蔥、大蒜,"['洋蔥', '大蒜']"
清酒or米酒、牛奶還能怎麼料理？,"['清酒or米酒', '牛奶']"
能不能幫我看看熟白芝麻、去骨雞腿排、蒜末、蔥.薑.蒜末能煮什麼？,"['熟白芝麻', '去骨雞腿排', '蒜末', '蔥.薑.蒜末']"
今天晚餐我想用地瓜、香油、番茄糊、醬油.素蠔油來做點東西,"['地瓜', '香油', '番茄糊', '醬油.素蠔油']"
我冰箱裡還有北海道白酱奶油玉米块、洋蔥丁、枸杞,"['北海道白酱奶油玉米块', '洋蔥丁', '枸杞']"
"只剩下Prego白酱、青江菜、空心菜、糖.水, 有什麼建議？","['Prego白酱', '青江菜', '空心菜', '糖.水']"
牛奶、火鍋牛肉片是我剩下的食材,"['牛奶', '火鍋牛肉片']"
塩、五花肉是我剩下的食材,"['塩', '五花肉']"
牛奶、辣椒、油、辣椒末或紅甜椒丁是我剩下的食材,"['牛奶', '辣椒', '油', '辣椒末或紅甜椒丁']"
"我不想浪費白米、鹽巴、切碎的韓式泡菜、洋蔥絲, 能推薦一下嗎？","['白米', '鹽巴', '切碎的韓式泡菜', '洋蔥絲']"
剩下的只有日本香菇精、甜不辣、焗烤起司絲,"['日本香菇精', '甜不辣', '焗烤起司絲']"
剩下的只有皮蛋、牛頭牌原味高湯-雞肉風味、绞肉、甜不辣,"['皮蛋', '牛頭牌原味高湯-雞肉風味', '绞肉', '甜不辣']"
能不能幫我看看無鹽奶油、豬絞肉能煮什麼？,"['無鹽奶油', '豬絞肉']"
我冰箱裡還有五花肉、白玉馬鈴薯、油豆腐,"['五花肉', '白玉馬鈴薯', '油豆腐']"
能不能幫我看看薑片、蜂蜜、白米能煮什麼？,"['薑片', '蜂蜜', '白米']"
我冰箱裡還有蒜頭、豬絞肉、蔥結、佛蒙特咖哩塊,"['蒜頭', '豬絞肉', '蔥結', '佛蒙特咖哩塊']"
高湯、蒜末還能怎麼料理？,"['高湯', '蒜末']"
我冰箱裡還有水、火鍋牛肉片,"['水', '火鍋牛肉片']"
"只剩下蒜頭切末、甜不辣, 有什麼建議？","['蒜頭切末', '甜不辣']"
幫我用韓國辣醬、泡菜汁、红萝卜出個菜單,"['韓國辣醬', '泡菜汁', '红萝卜']"
家裡冰箱剩下月桂葉、高湯、番茄糊、胡椒粉，該怎麼辦,"['月桂葉', '高湯', '番茄糊', '胡椒粉']"
剩下的只有米酒、鲜奶,"['米酒', '鲜奶']"
我冰箱裡還有乳玛琳、蔥結,"['乳玛琳', '蔥結']"
能不能幫我看看白米、蔥花、冷凍金針菇、蔥能煮什麼？,"['白米', '蔥花', '冷凍金針菇', '蔥']"
家裡冰箱剩下義大利香料、火腿片、蔥結、洋蔥，切丁，該怎麼辦,"['義大利香料', '火腿片', '蔥結', '洋蔥，切丁']"
今天晚餐我想用白蘿蔔、鹽、木耳來做點東西,"['白蘿蔔', '鹽', '木耳']"
我冰箱裡還有黑胡椒粒、蝦米、乳玛琳、大蒜,"['黑胡椒粒', '蝦米', '乳玛琳', '大蒜']"
豬肉片、蔥.薑.蒜末還能怎麼料理？,"['豬肉片', '蔥.薑.蒜末']"
